Porcentagem CPU,Uso RAM (Bytes),Porcentagem RAM
17.5,3628355584,91.8
28.7,3642871808,92.2
57.6,3641344000,92.2
33.5,3638988800,92.1
12.2,3653689344,92.5
5.7,3642896384,92.2
18.3,3640815616,92.2
12.3,3633979392,92.0
39.8,3648217088,92.3
6.2,3659427840,92.6
11.5,3657949184,92.6
5.0,3649249280,92.4
10.2,3654631424,92.5
32.0,3665563648,92.8
49.1,3649056768,92.4
39.2,3578880000,90.6
48.1,3545493504,89.7
41.3,3553935360,90.0
37.5,3553816576,90.0
66.3,3554439168,90.0
46.3,3566546944,90.3
48.2,3560493056,90.1
40.4,3549360128,89.8
31.7,3559460864,90.1
54.1,3571585024,90.4
30.3,3571486720,90.4
38.6,3566092288,90.3
25.4,3563708416,90.2
29.8,3562127360,90.2
44.1,3562508288,90.2
66.5,3574149120,90.5
23.8,3572690944,90.4
27.4,3572490240,90.4
25.6,3570163712,90.4
23.0,3570929664,90.4
46.9,3559374848,90.1
26.4,3576463360,90.5
20.1,3576016896,90.5
37.7,3585527808,90.8
40.7,3587723264,90.8
79.1,3607379968,91.3
37.4,3595878400,91.0
24.9,3594121216,91.0
52.8,3591020544,90.9
34.0,3586957312,90.8
52.8,3588190208,90.8
24.1,3591847936,90.9
